merchant_id,usuario,ciudad,tipo_negocio,cantidad_dinero_usd,latitud,longitud,meses_en_deuna,num_quejas,nivel_deuna,tiene_tarjeta,tipo_tarjeta,miembro_activo,edad,txn_count_last30,txn_count_last90,total_volume_last30,total_volume_last90,avg_ticket_last30,avg_ticket_last90,days_since_last_txn,active_days_last30,volume_trend,frequency_trend,consecutive_inactive_days,months_below_avg,peak_to_current_ratio,ief,segmento_riesgo,pct_jovenes_sector,edad_mediana_sector,densidad_poblacional,potencial_digital_sector,txn_vs_potencial_sector,cac,costo_mantenimiento_mensual,revenue_mensual,meses_recuperar_cac,ltv_estimado,roi_retencion,churned_next30
MER0001,Rosa Rodríguez,Guayaquil,Transporte,902.05,-2.151129,-79.863001,2,1,Bronce,0,Ninguna,1,26,6,22,967.14,2396.68,161.19,108.94,16,10,-50.89,-22.98,9,0,0.69,0.2832,Bajo,0.379,36,Alta,0.755,0.662,8.37,21.89,11.61,0.7,255.42,22.67,0
MER0002,Sandra Medina,Quito,Servicios Profesionales,11444.89,-0.182542,-78.496787,39,0,Gold,1,American Express,1,49,77,257,11974.27,25273.38,155.51,98.34,0,27,8.73,10.65,0,0,1.13,0.0677,Bajo,0.296,30,Baja,0.415,2.319,304.76,60.5,143.69,2.1,143.69,-0.124,0
MER0003,José Mora,Quito,Restaurante / Comida,18509.95,-0.248402,-78.541782,30,1,Gold,1,Mastercard,1,46,79,231,20982.4,54516.0,265.6,236.0,2,25,4.07,-3.67,0,1,0.91,0.2055,Bajo,0.413,40,Baja,0.556,1.776,355.27,51.49,251.79,1.4,251.79,0.274,0
MER0004,Beatriz Chávez,Quito,Retail / Tienda,944.94,-0.236789,-78.492499,27,0,Bronce,1,Visa,1,34,9,40,941.58,1496.0,104.62,37.4,2,17,-4.57,24.77,0,0,0.88,0.0848,Bajo,0.414,31,Alta,0.797,0.941,79.28,11.76,11.3,7.0,11.3,-0.302,0
MER0005,María Pérez,Quito,Salud / Farmacia,1245.54,-0.206678,-78.537522,10,0,Bronce,0,Ninguna,1,52,5,32,1195.2,3235.2,239.04,101.1,18,20,-22.65,-3.07,11,1,0.77,0.1922,Bajo,0.499,35,Baja,0.659,0.632,53.91,11.09,14.34,3.8,200.76,3.107,0
MER0006,Roberto Benítez,Quito,Supermercado / Abarrotes,1397.05,-0.263337,-78.484445,13,0,Bronce,1,Mastercard,1,50,11,30,1380.06,4395.9,125.46,146.53,6,19,30.75,-7.86,3,0,0.66,0.2079,Bajo,0.368,36,Baja,0.502,1.826,19.6,0.43,16.56,1.2,182.16,9.228,0
MER0007,María Jiménez,Riobamba,Belleza / Estética,3629.47,-1.681808,-78.687651,16,5,Silver,1,Mastercard,1,45,31,102,3661.41,12734.7,118.11,124.85,5,17,-21.44,-3.99,5,1,0.95,0.2802,Bajo,0.193,29,Alta,0.532,1.665,122.41,17.64,43.94,2.8,351.52,2.439,0
MER0008,Sebastián Medina,Quito,Construcción / Ferretería,1236.3,-0.227276,-78.497301,3,0,Bronce,1,Visa,1,48,7,35,1189.51,3486.35,169.93,99.61,1,17,-32.82,-1.15,2,2,0.95,0.2248,Bajo,0.356,43,Alta,0.727,0.802,52.24,2.88,14.27,3.7,299.67,5.571,1
MER0009,Beatriz Romero,Quito,Retail / Tienda,1223.44,-0.236115,-78.53445,1,2,Bronce,1,Mastercard,1,53,12,24,1238.04,3805.2,103.17,158.55,0,14,-22.04,-18.58,0,1,0.72,0.2722,Bajo,0.324,21,Media,0.539,1.855,8.38,10.74,14.86,0.6,341.78,36.94,0
MER0010,Miguel Chávez,Riobamba,Educación,1018.22,-1.670601,-78.629513,19,0,Bronce,0,Ninguna,0,35,3,38,969.12,4644.74,323.04,122.23,9,11,-10.7,-11.47,3,3,0.7,0.4514,Medio,0.404,28,Alta,0.785,0.318,61.77,12.36,11.63,5.3,58.15,0.341,1
MER0011,Verónica Flores,Quito,Salud / Farmacia,1529.55,-0.271016,-78.475636,23,1,Silver,0,Ninguna,1,23,40,105,2785.6,3155.25,69.64,30.05,0,13,-6.25,1.39,0,1,1.13,0.1653,Bajo,0.34,32,Baja,0.468,2.442,149.51,20.49,33.43,4.5,33.43,-0.188,0
MER0012,Mónica Sánchez,Babahoyo,Restaurante / Comida,3344.7,-1.79899,-79.52106,16,2,Silver,1,Mastercard,1,30,30,91,3964.2,6739.46,132.14,74.06,0,21,4.53,-15.43,0,1,0.63,0.369,Bajo,0.373,30,Baja,0.508,1.687,68.61,26.77,47.57,1.4,380.56,4.376,0
MER0013,Santiago Sánchez,Babahoyo,Educación,511.59,-1.767088,-79.500167,4,2,Bronce,0,Ninguna,0,20,8,24,519.12,1137.36,64.89,47.39,45,10,-33.17,-10.89,28,2,0.51,0.4914,Alto - Inactivo,0.468,38,Alta,0.862,0.773,7.76,12.43,6.23,1.2,124.6,11.251,1
MER0014,Cristian Vargas,Guayaquil,Retail / Tienda,3479.39,-2.194801,-79.857835,7,3,Silver,0,Ninguna,1,36,18,76,3435.12,10323.84,190.84,135.84,6,9,-14.7,-28.95,3,1,0.57,0.3429,Bajo,0.237,30,Alta,0.584,0.881,178.94,20.18,41.22,4.3,700.74,3.578,1
MER0015,Paola Mora,Quito,Restaurante / Comida,601.48,-0.199559,-78.51151,19,0,Bronce,1,Visa,1,46,13,31,65.0,1822.18,5.0,58.78,3,13,9.28,-23.87,1,0,0.94,0.1016,Bajo,0.315,42,Media,0.528,2.052,71.45,3.63,0.78,91.6,3.9,-0.098,0
MER0016,Santiago Pérez,Cuenca,Belleza / Estética,352.46,-2.891416,-78.981356,7,1,Bronce,1,Visa,1,37,5,23,379.5,1034.31,75.9,44.97,0,13,-4.93,-8.76,0,2,0.68,0.3546,Bajo,0.408,18,Alta,0.79,0.527,52.79,3.48,4.55,11.6,77.35,1.267,0
MER0017,Andrés Vega,Guayaquil,Supermercado / Abarrotes,284.48,-2.188076,-79.920764,1,5,Bronce,1,Visa,1,65,13,36,482.17,767.16,37.09,21.31,5,12,-12.12,-7.36,4,1,0.69,0.2006,Bajo,0.345,22,Baja,0.474,2.286,45.48,12.15,5.79,7.9,133.17,2.127,0
MER0018,Jorge González,Santo Domingo,Retail / Tienda,16636.43,-0.241776,-79.21021,39,1,Gold,1,Visa,1,20,86,231,19233.04,51767.1,223.64,224.1,6,19,-5.71,-13.2,3,0,1.18,0.1555,Bajo,0.303,24,Alta,0.664,1.619,355.12,59.18,230.8,1.5,230.8,0.15,0
MER0019,Roberto Díaz,Guayaquil,Restaurante / Comida,1924.32,-2.199999,-79.841472,9,3,Silver,1,Diners Club,1,40,31,102,2063.05,9022.92,66.55,88.46,6,25,-18.36,21.11,1,0,0.89,0.046,Bajo,0.215,30,Alta,0.558,1.587,138.84,18.32,24.76,5.6,371.4,2.279,0
MER0020,Roberto Sánchez,Quito,Tecnología,474.5,-0.234256,-78.560214,2,0,Bronce,1,Diners Club,1,54,7,37,458.43,1538.09,65.49,41.57,1,17,-16.98,6.54,0,1,0.59,0.2899,Bajo,0.239,27,Media,0.437,1.335,34.14,7.65,5.5,6.2,121.0,2.872,0
MER0021,Verónica Cabrera,Quito,Educación,438.7,-0.207903,-78.508408,1,0,Bronce,0,Ninguna,1,45,9,20,397.44,648.2,44.16,32.41,18,18,7.84,-24.75,12,1,0.46,0.3043,Bajo,0.326,28,Baja,0.451,1.663,56.97,12.86,4.77,11.9,109.71,1.249,0
MER0022,Miguel Vega,Portoviejo,Educación,805.9,-1.062079,-80.501853,4,0,Bronce,1,Visa,0,37,4,29,966.36,2833.88,241.59,97.72,17,10,-16.27,-5.81,11,2,0.71,0.2332,Bajo,0.432,27,Alta,0.818,0.407,1.97,10.91,11.6,0.2,232.0,101.152,1
MER0023,Lucia Romero,Guayaquil,Restaurante / Comida,4975.1,-2.217331,-79.900633,11,1,Silver,1,American Express,1,28,31,100,5050.83,14855.0,162.93,148.55,4,19,21.35,1.44,3,0,0.99,0.0469,Bajo,0.442,38,Media,0.68,1.303,123.59,22.8,60.61,2.0,787.93,5.822,0
MER0024,Felipe Rivera,Machala,Belleza / Estética,937.48,-3.22318,-79.980433,9,3,Bronce,0,Ninguna,1,48,5,38,940.3,2835.18,188.06,74.61,9,17,-41.89,-12.2,3,1,0.7,0.244,Medio,0.483,23,Baja,0.64,0.651,4.52,10.93,11.28,0.4,169.2,30.179,0
MER0025,Sandra Rivera,Quito,Construcción / Ferretería,17114.31,-0.19249,-78.572173,39,0,Gold,0,Ninguna,1,38,73,236,13486.75,47223.6,184.75,200.1,0,17,4.94,-18.15,0,0,0.76,0.1209,Bajo,0.259,37,Baja,0.371,2.46,343.58,66.55,161.84,2.1,161.84,-0.11,0
MER0026,Santiago Romero,Quito,Belleza / Estética,9008.93,-0.180383,-78.551133,40,0,Gold,1,Mastercard,1,31,88,235,7544.24,29243.4,85.73,124.44,5,18,35.36,11.25,2,0,0.91,0.0379,Bajo,0.434,38,Media,0.671,1.639,344.69,51.01,90.53,3.8,90.53,-0.181,0
MER0027,Roberto Guerrero,Guayaquil,Retail / Tienda,797.35,-2.220225,-79.863858,3,0,Bronce,1,Diners Club,1,29,18,37,920.88,3284.86,51.16,88.78,1,16,-27.36,-3.41,2,3,0.51,0.4742,Bajo,0.538,39,Baja,0.706,2.125,1.76,5.77,11.05,0.2,232.05,122.011,0
MER0028,Roberto López,Guayaquil,Educación,917.47,-2.175383,-79.929465,12,2,Bronce,1,Visa,0,39,2,30,895.26,3881.1,447.63,129.37,9,14,-7.19,-2.96,4,1,0.8,0.2158,Bajo,0.257,41,Alta,0.608,0.274,43.63,9.22,10.74,4.1,128.88,2.32,0
MER0029,Daniela Romero,Santo Domingo,Restaurante / Comida,726.59,-0.281205,-79.20059,6,0,Bronce,1,American Express,0,38,8,20,842.16,1909.2,105.27,95.46,8,13,6.25,-37.27,3,0,0.72,0.2403,Medio,0.138,38,Baja,0.226,2.95,12.19,3.17,10.11,1.2,181.98,14.148,0
MER0030,Lucia Guerrero,Quito,Salud / Farmacia,2273.15,-0.180834,-78.56005,9,0,Silver,1,Mastercard,1,37,28,87,2382.52,4970.31,85.09,57.13,4,23,14.12,5.08,0,1,1.15,0.1173,Bajo,0.47,35,Alta,0.864,0.926,123.44,24.75,28.59,4.3,428.85,2.873,0
MER0031,Silvia Muñoz,Portoviejo,Construcción / Ferretería,863.33,-1.059368,-80.439742,1,2,Bronce,1,Visa,1,55,11,27,737.11,2805.57,67.01,103.91,5,15,-5.32,-31.89,5,1,1.04,0.2788,Bajo,0.518,34,Baja,0.682,1.344,24.43,5.25,8.85,2.8,203.55,7.687,0
MER0032,Gloria Vargas,Latacunga,Servicios Profesionales,1167.61,-0.962302,-78.579761,9,0,Bronce,0,Ninguna,1,31,10,23,748.6,3619.74,74.86,157.38,5,16,10.33,-0.46,1,0,0.91,0.1436,Bajo,0.418,34,Media,0.652,1.278,35.9,9.9,8.98,4.0,134.7,2.925,0
MER0033,Sandra Mora,Quito,Transporte,816.62,-0.252525,-78.568591,1,0,Bronce,1,American Express,1,45,6,35,858.18,2643.55,143.03,75.53,3,21,-24.44,-2.41,5,0,0.82,0.1825,Bajo,0.425,35,Alta,0.81,0.617,10.71,4.14,10.3,1.0,236.9,20.96,0
MER0034,Beatriz Chávez,Loja,Supermercado / Abarrotes,14709.13,-3.943159,-79.249379,52,1,Gold,0,Ninguna,1,40,62,236,15603.54,47126.84,251.67,199.69,3,22,-13.13,-9.03,1,1,0.67,0.2017,Bajo,0.251,28,Alta,0.601,1.29,399.26,60.05,187.24,2.1,187.24,0.018,0
MER0035,Daniela Vega,Ambato,Salud / Farmacia,1160.36,-1.252751,-78.628721,9,0,Bronce,1,Visa,1,38,6,32,1247.4,3547.84,207.9,110.87,5,22,-18.14,-15.46,2,2,0.56,0.4676,Bajo,0.457,26,Alta,0.848,0.59,38.26,3.15,14.97,2.6,224.55,5.622,0
MER0036,Pedro Benítez,Cuenca,Construcción / Ferretería,614.73,-2.879195,-79.045212,11,0,Bronce,0,Ninguna,0,43,11,20,791.34,1620.0,71.94,81.0,11,13,-37.98,3.47,5,0,0.74,0.2697,Alto - Inactivo,0.324,23,Media,0.539,1.701,54.43,7.99,9.5,5.7,123.5,1.829,1
MER0037,Carmen Martínez,Quito,Restaurante / Comida,2724.98,-0.209986,-78.533868,16,1,Silver,1,Visa,1,54,23,95,2631.43,6941.65,114.41,73.07,0,20,-22.95,-11.48,0,0,1.02,0.1456,Bajo,0.463,24,Media,0.706,0.931,83.0,28.36,31.58,2.6,252.64,2.019,0
MER0038,Gloria Rivera,Guayaquil,Tecnología,1306.71,-2.240186,-79.87997,44,0,Bronce,1,Visa,1,42,9,31,1319.85,4403.86,146.65,142.06,5,20,-2.14,-8.1,4,0,0.79,0.1182,Bajo,0.389,36,Alta,0.767,0.978,11.9,2.76,15.84,0.8,15.84,0.635,0
MER0039,Felipe González,Ambato,Tecnología,799.5,-1.247532,-78.574761,26,0,Bronce,0,Ninguna,0,40,6,27,764.64,2425.68,127.44,89.84,17,18,-22.38,-5.14,7,1,0.65,0.2723,Medio,0.361,35,Media,0.583,0.858,46.62,8.32,9.18,5.1,9.18,-0.338,1
MER0040,Santiago Cabrera,Guayaquil,Belleza / Estética,579.63,-2.235634,-79.872117,3,0,Bronce,1,Visa,0,20,6,25,533.04,1824.0,88.84,72.96,12,15,-11.56,10.8,6,3,0.58,0.2808,Bajo,0.466,27,Alta,0.859,0.582,0.63,8.92,6.4,0.1,134.4,107.64,1
MER0041,Diego García,Quito,Restaurante / Comida,3456.69,-0.25538,-78.476713,11,0,Silver,0,Ninguna,1,28,30,92,2925.9,13076.88,97.53,142.14,6,26,-15.97,2.48,3,2,0.61,0.3716,Bajo,0.41,28,Media,0.642,1.335,125.05,22.3,35.11,3.6,456.43,3.115,0
MER0042,Marcos Romero,Cuenca,Educación,543.2,-2.882077,-79.051733,1,0,Bronce,1,Visa,0,31,6,28,662.7,1205.68,110.45,43.06,14,11,-19.69,-32.03,13,1,0.42,0.3624,Medio,0.438,32,Alta,0.826,0.605,38.36,6.62,7.95,4.8,182.85,4.249,1
MER0043,Rosa Díaz,Ibarra,Tecnología,13276.31,0.366281,-78.143609,26,0,Gold,1,Mastercard,0,41,66,226,14246.1,39403.1,215.85,174.35,5,22,-12.73,4.85,4,3,0.8,0.2989,Bajo,0.428,30,Baja,0.574,1.437,324.48,56.3,170.95,1.9,170.95,0.006,0
MER0044,Miguel Cabrera,Manta,Retail / Tienda,548.83,-0.956101,-80.740098,6,1,Bronce,1,Visa,1,23,12,31,828.84,1291.15,69.07,41.65,0,17,-21.84,-9.49,0,2,1.01,0.2809,Bajo,0.458,28,Media,0.7,1.429,78.48,4.75,9.95,7.9,179.1,2.101,0
MER0045,Diego Benítez,Machala,Servicios Profesionales,738.03,-3.229239,-79.953673,5,1,Bronce,1,Visa,1,26,11,27,1145.98,2013.12,104.18,74.56,4,20,8.06,-24.17,0,0,0.68,0.2162,Bajo,0.457,33,Alta,0.848,1.081,40.57,13.16,13.75,3.0,261.25,5.466,0
MER0046,Ricardo Sánchez,Riobamba,Transporte,5825.76,-1.69489,-78.624336,8,1,Silver,1,Visa,1,36,35,108,6361.95,20127.96,181.77,186.37,6,11,-20.98,-16.25,3,1,0.81,0.2661,Bajo,0.138,37,Alta,0.466,2.146,127.41,20.44,76.34,1.7,1221.44,9.105,0
MER0047,Ricardo Jiménez,Cuenca,Servicios Profesionales,2759.33,-2.856418,-79.050674,18,0,Silver,1,Mastercard,1,22,33,90,2735.7,6956.1,82.9,77.29,5,20,-18.15,-8.79,2,0,0.92,0.097,Bajo,0.374,34,Media,0.599,1.574,147.12,28.85,32.83,4.5,196.98,0.751,0
MER0048,Valeria Rivera,Cuenca,Belleza / Estética,2824.16,-2.943873,-79.00465,22,0,Silver,1,Mastercard,1,27,39,95,2596.62,5502.4,66.58,57.92,6,26,-1.36,-9.22,3,0,0.93,0.1702,Bajo,0.197,33,Media,0.386,2.887,176.2,25.4,31.16,5.7,62.32,-0.079,0
MER0049,Andrea García,Portoviejo,Supermercado / Abarrotes,3664.81,-1.065003,-80.412591,16,2,Silver,1,Diners Club,1,25,40,93,3252.4,9625.5,81.31,103.5,6,24,-1.8,-5.2,5,0,0.98,0.0986,Bajo,0.353,35,Alta,0.724,1.579,129.77,15.97,39.03,3.3,312.24,2.037,0
MER0050,Fernando Molina,Riobamba,Retail / Tienda,1215.04,-1.631594,-78.650521,17,0,Bronce,1,Diners Club,1,43,9,40,1172.07,3351.6,130.23,83.79,0,17,3.78,8.37,0,1,0.85,0.2092,Bajo,0.29,33,Media,0.498,1.506,80.84,2.39,14.06,5.7,98.42,1.129,0
MER0051,Rosa Vega,Quito,Transporte,648.03,-0.262012,-78.488726,4,0,Bronce,1,Mastercard,1,43,15,31,701.85,2149.85,46.79,69.35,1,22,-9.79,-8.71,1,2,0.83,0.2637,Bajo,0.461,34,Media,0.703,1.778,25.63,6.88,8.42,3.0,168.4,5.765,0
MER0052,Sandra Martínez,Quito,Salud / Farmacia,937.06,-0.232623,-78.544173,12,0,Bronce,1,Mastercard,0,34,6,34,825.78,2973.3,137.63,87.45,6,20,-10.08,14.86,5,3,0.5,0.4318,Bajo,0.355,26,Media,0.576,0.868,57.73,8.72,9.91,5.8,118.92,1.607,0
MER0053,Ramón Pérez,Ambato,Restaurante / Comida,862.27,-1.224741,-78.616073,4,0,Bronce,1,Visa,1,31,12,30,842.28,2401.2,70.19,80.04,5,20,-17.78,-1.16,1,1,0.86,0.2116,Bajo,0.164,43,Baja,0.257,3.891,43.18,6.0,10.11,4.3,202.2,4.266,0
MER0054,Silvia González,Guayaquil,Belleza / Estética,9681.31,-2.204017,-79.895098,33,2,Gold,1,Visa,0,31,58,232,9369.9,24909.84,161.55,107.37,3,16,12.15,-15.23,0,0,0.89,0.1297,Bajo,0.271,40,Media,0.475,1.526,356.2,58.79,112.44,3.2,112.44,-0.179,0
MER0055,Pedro Torres,Ibarra,Construcción / Ferretería,834.74,0.374097,-78.160144,1,1,Bronce,1,Mastercard,1,26,16,34,505.92,3582.58,31.62,105.37,4,15,-1.37,-24.7,2,0,0.74,0.2819,Bajo,0.52,31,Alta,0.924,1.443,23.59,12.82,6.07,3.9,139.61,4.288,0
MER0056,Isabel Rivera,Guayaquil,Transporte,3357.02,-2.224411,-79.837396,8,0,Silver,1,Mastercard,1,54,15,101,2815.95,9353.61,187.73,92.61,6,16,9.29,-2.84,5,1,1.11,0.2181,Bajo,0.358,39,Alta,0.73,0.587,96.37,16.9,33.79,2.9,540.64,5.084,0
MER0057,Andrea Chávez,Quito,Salud / Farmacia,958.06,-0.245255,-78.547275,5,1,Bronce,1,Visa,1,38,7,37,1084.02,2606.65,154.86,70.45,5,14,-8.28,-6.4,4,0,0.78,0.1545,Bajo,0.517,48,Baja,0.68,0.858,36.91,7.73,13.01,2.8,247.19,6.069,0
MER0058,Marcos Jiménez,Riobamba,Transporte,756.72,-1.637047,-78.647247,43,0,Bronce,1,Diners Club,0,40,8,26,656.48,2718.56,82.06,104.56,8,24,-25.25,-4.78,3,0,0.82,0.2117,Bajo,0.438,34,Media,0.676,0.986,44.2,3.59,7.88,5.6,7.88,-0.065,0
MER0059,Daniela Vega,Quito,Construcción / Ferretería,624.5,-0.238746,-78.533589,1,0,Bronce,0,Ninguna,0,36,5,25,645.85,1489.0,129.17,59.56,17,20,-35.79,-22.32,10,1,0.72,0.2111,Medio,0.398,28,Media,0.628,0.663,50.67,12.04,7.75,6.5,178.25,2.805,0
MER0060,Andrea Suárez,Riobamba,Restaurante / Comida,577.69,-1.633104,-78.64935,10,0,Bronce,0,Ninguna,1,28,4,31,654.08,1092.75,163.52,35.25,5,20,-3.81,-24.57,1,1,0.65,0.357,Bajo,0.364,37,Baja,0.497,0.671,56.71,7.48,7.85,7.2,109.9,1.542,0
MER0061,Sandra Medina,Quito,Restaurante / Comida,375.01,-0.210798,-78.524919,17,1,Bronce,1,Mastercard,0,53,8,27,544.4,850.5,68.05,31.5,5,15,-15.39,-16.29,4,1,0.84,0.2644,Bajo,0.29,38,Alta,0.648,1.029,3.94,3.5,6.53,0.6,45.71,8.937,0
MER0062,Mónica Rodríguez,Santo Domingo,Supermercado / Abarrotes,311.9,-0.275459,-79.185121,1,2,Bronce,1,Visa,1,44,7,34,594.44,1082.9,84.92,31.85,2,12,0.37,-1.4,0,0,0.85,0.1925,Bajo,0.479,23,Baja,0.635,0.919,50.2,9.22,7.13,7.0,163.99,2.716,0
MER0063,Isabel Medina,Portoviejo,Supermercado / Abarrotes,742.52,-1.0588,-80.464299,3,0,Bronce,1,Mastercard,1,34,5,38,747.7,2474.94,149.54,65.13,4,15,-18.51,-21.08,4,0,0.58,0.2644,Bajo,0.589,32,Alta,1.0,0.417,62.54,18.12,8.97,7.0,188.37,2.143,0
MER0064,Roberto García,Quito,Restaurante / Comida,4127.01,-0.25203,-78.493603,8,0,Silver,1,Visa,1,38,25,107,4208.5,12469.78,168.34,116.54,1,22,18.88,-9.45,0,1,0.89,0.1237,Bajo,0.349,31,Alta,0.719,0.993,138.55,18.96,50.5,2.7,808.0,5.421,0
MER0065,Ana Medina,Quito,Restaurante / Comida,655.33,-0.216064,-78.552092,18,0,Bronce,1,Visa,1,46,13,34,486.98,696.66,37.46,20.49,5,16,8.76,10.99,1,1,0.7,0.1389,Bajo,0.383,29,Baja,0.52,2.083,65.59,0.3,5.84,11.2,35.04,0.521,0
MER0066,Juan Reyes,Ambato,Restaurante / Comida,1251.54,-1.24743,-78.590822,4,3,Bronce,0,Ninguna,0,57,5,28,1252.65,4152.12,250.53,148.29,33,9,-17.9,-10.28,20,1,0.56,0.3159,Alto - Inactivo,0.449,18,Alta,0.839,0.497,12.38,2.57,15.03,0.8,300.6,23.658,1
MER0067,Ricardo Castro,Quito,Transporte,15938.67,-0.279353,-78.501366,26,1,Gold,1,Visa,0,50,81,235,14098.86,45002.5,174.06,191.5,3,21,-4.5,-1.92,1,0,1.07,0.0219,Bajo,0.459,29,Media,0.701,1.444,357.51,43.45,169.19,2.1,169.19,0.109,0
MER0068,Silvia Herrera,Esmeraldas,Belleza / Estética,2908.31,0.991951,-79.633879,17,1,Silver,0,Ninguna,1,39,30,85,3543.3,10319.0,118.11,121.4,3,24,-32.09,-18.4,3,1,0.5,0.3802,Bajo,0.399,39,Baja,0.539,1.59,120.21,16.7,42.52,2.8,297.64,2.059,0
MER0069,Pedro Aguirre,Machala,Salud / Farmacia,1243.76,-3.221836,-79.987474,7,0,Bronce,0,Ninguna,1,40,7,30,1188.88,2665.5,169.84,88.85,9,12,-14.34,-3.3,4,2,0.51,0.411,Medio,0.365,38,Alta,0.738,0.79,88.45,15.6,14.27,6.2,242.59,2.214,0
MER0070,Alejandro Ramos,Quito,Salud / Farmacia,3177.44,-0.251715,-78.546668,7,0,Silver,1,Mastercard,0,33,31,94,2249.67,8310.54,72.57,88.41,1,17,1.93,-26.19,2,0,0.77,0.226,Bajo,0.547,40,Media,0.806,1.099,155.7,25.07,27.0,5.8,459.0,2.465,0
MER0071,José Sánchez,Ambato,Tecnología,886.88,-1.267809,-78.63959,41,1,Bronce,1,American Express,0,48,6,44,727.68,2321.44,121.28,52.76,15,29,-9.74,-14.33,7,3,0.69,0.3864,Bajo,0.406,34,Alta,0.787,0.635,62.04,4.08,8.73,7.1,8.73,-0.057,0
MER0072,Cristian Chávez,Guayaquil,Tecnología,4071.03,-2.221444,-79.929947,8,0,Silver,1,Mastercard,0,31,25,92,4148.25,15363.08,165.93,166.99,6,14,-0.35,13.97,5,1,0.62,0.3006,Bajo,0.434,33,Alta,0.821,0.87,103.51,24.3,49.78,2.1,796.48,6.99,0
MER0073,Paola Martínez,Guayaquil,Restaurante / Comida,3505.73,-2.244009,-79.906095,9,0,Silver,1,Mastercard,1,31,25,94,3259.5,10772.4,130.38,114.6,4,14,-2.04,-16.97,3,2,0.8,0.2608,Bajo,0.244,30,Media,0.443,1.612,94.46,13.0,39.11,2.4,586.65,5.798,0
MER0074,Ana Muñoz,Riobamba,Educación,14666.46,-1.645806,-78.620809,27,0,Gold,1,Mastercard,1,38,72,223,16071.84,48096.64,223.22,215.68,3,17,-4.22,5.1,1,0,1.02,0.0064,Bajo,0.242,28,Alta,0.59,1.525,353.38,57.23,192.86,1.8,192.86,0.06,0
MER0075,José Castro,Cuenca,Salud / Farmacia,924.68,-2.908522,-79.013006,16,2,Bronce,1,Visa,1,56,12,33,945.24,2116.95,78.77,64.15,2,26,3.41,-37.78,0,1,0.93,0.3529,Bajo,0.269,25,Alta,0.623,1.605,70.15,9.4,11.34,6.2,90.72,0.891,0
MER0076,Jorge Mora,Riobamba,Construcción / Ferretería,543.99,-1.631361,-78.620267,9,0,Bronce,0,Ninguna,1,55,9,32,759.96,1317.12,84.44,41.16,11,13,-36.36,-33.0,6,1,0.66,0.38,Bajo,0.407,41,Alta,0.788,0.952,58.72,15.28,9.12,6.4,136.8,1.549,0
MER0077,Pedro Chávez,Portoviejo,Servicios Profesionales,3580.21,-1.029425,-80.4238,15,0,Silver,0,Ninguna,1,26,34,95,3895.04,11102.65,114.56,116.87,4,11,-0.08,-24.28,1,0,0.89,0.1595,Bajo,0.239,23,Alta,0.587,1.655,120.93,15.46,46.74,2.6,420.66,3.095,0
MER0078,Verónica Cabrera,Riobamba,Salud / Farmacia,538.43,-1.647549,-78.624976,4,1,Bronce,1,American Express,1,53,11,34,465.3,1949.56,42.3,57.34,3,16,-14.79,0.16,4,1,1.0,0.119,Bajo,0.278,30,Alta,0.634,1.446,81.44,5.01,5.58,14.6,111.6,1.186,0
MER0079,Luis Suárez,Cuenca,Belleza / Estética,1225.26,-2.918822,-78.990466,20,1,Bronce,0,Ninguna,1,44,13,31,1311.18,4104.71,100.86,132.41,5,14,5.07,-29.24,4,2,0.89,0.3462,Bajo,0.549,29,Media,0.809,1.339,99.6,6.32,15.73,6.3,62.92,0.441,1
MER0080,José Martínez,Quito,Belleza / Estética,41.38,-0.20159,-78.51333,16,3,Silver,0,Ninguna,1,41,19,86,708.51,2829.4,37.29,32.9,2,7,-26.56,-14.43,4,2,0.61,0.4373,Bajo,0.405,36,Baja,0.546,0.994,155.77,19.4,8.5,18.3,68.0,0.063,0
